Аіee-21,Аі-22,Аі-23,Аі-24
Іноземна мова,Природничі науки (Фізика),Історія України,-
Лазаренко І.С./Рибак Т.М. 7\7а,Кравчук А.В. 311,Малихін Ю.В.  419,-
Історія України,Іноземна мова,Природничі науки (Фізика),Вища математка
Малихін Ю.В.  419,Лазаренко І.С./Рибак Т.М.  7\7а ,Кравчук А.В. 311,Трофімчук О.Л. 409
Природничі науки (Фізика),Історія України,Іноземна мова,Фізичне виховання
Кравчук А.В.  311,Малихін Ю.В.  419,Лазаренко І.С./Рибак Т.М. 7\7а,Бондарук О.О.
,,,
,,,
,,,
,,,
Фізика 311,Математика,Агровиробництво (Будова автотракторної техніки),Іноземна мова (за професійним спрямуванням)
МТКМ і ВСТВ 34,Хлуп`янець І.В.  401,Мамчур В. А. 43,Лазаренко І.С./ Сапожник О. 7а/103
Математика,Агровиробництво (Будова автотракторної техніки),Фізика 311,Основи аграрного виробництва
Хлуп`янець І.В. 401,Мамчур В. А. 43,МТКМ і ВСТВ 34,Іванцов  П.Д.  12
Агровиробництво (Будова автотракторної техніки),Фізика 311,Математика,Трактори і автомобілі та ПММ
Мамчур В. А. 43,МТКМ і ВСТВ 34,Хлуп`янець І.В.  401,Рябчук О.П. 26
,,,Українська мова за проф. спрямуванням
,,,Додурич 1а
,,,
,,,
Українська мова,Українська мова за професійним спрямуванням,Агровиробництво (Будова автотракторної техніки),Трактори і автомобілі та ПММ
Базилівська К.В.  27,Ємець Л.В.  305,Мамчур В. А. 43,Рябчук О.П. 26
Агровиробництво (Будова автотракторної техніки),Українська мова,Математика,Вища математка  409
Мамчур В. А. 43,Базилівська К.В.  27,Хлуп`янець І.В.  401,МТКМ і ВСТВ 34
Українська література,-,Українська мова ,МТКМ і ВСТВ
Базилівська К.В. 27,-,a,Рябчук П.О. 34
Українська мова за професійним спрямуванням,-,-,-
Ємець Л.В.  305,-,-,-
,-,-,-
,,-,-
Агровиробництво (Будова автотракторної техніки),Математика,Українська мова за професійним спрямуванням,МТКМ і ВСТВ
Мамчур В. А. 43,Хлуп`янець І.В.  401,Ємець Л.В.  305,Рябчук П.О.  34
Математика,Агровиробництво (Будова автотракторної техніки),Фізична культура,Онови теплтехніки і гідравліки
Хлуп`янець І.В. 401,Мамчур В. А. 43,Гаврилюк В.М.,Гнатюк О.Ф. 32
Фізична культура,Українська література,Агровиробництво (Будова автотракторної техніки),Трактори і автомобілі та ПММ 26
Гаврилюк В.М.,Базилівська К.В. 27,Мамчур В. А. 43,Основи аграр. виробництва 29
,Фізична культура,Українська література ,-
,Гаврилюк В.М.,Соколовська Л.М.  316,-
,Агровиробництво                                        (Охорона праці),-,-
,Корзун Н.О. 51,-,-
Агровиробництво                                        (Охорона праці),Природничі науки (Географія),МТКМ і ВСТВ,Трактори і автомобілі та ПММ
Корзун Н.О. 51,Малихіна Л.П. 301,Рябчук П.О.  34,Рябчук О.П.  26
МТКМ і ВСТВ,Агровиробництво (Будова автотракторної техніки),Природничі науки (Географія),В. математика
Рябчук П.О.  34,Мамчур В. А. 43,Малихіна Л.П. 301,Трофімчук О.Л.409
Природничі науки (Географія),МТКМ і ВСТВ,Агровиробництво                                        (Охорона праці),Онови теплтехніки і гідравліки 32
Малихіна Л.П. 301,Рябчук П.О.  34,Корзун Н.О. 51,Українська мова за професійним спрямуванням 1а
,,,
,,,
,,,
aaaaaaaaaaaaa,aaaaaaaaaaaaaaa,,
